Training started: 30000 episodes
Learning rate: 0.001, Gamma: 0.99, Beta range: (0.1, 0.02)
--------------------------------------------------------------------------------
Episode 11350/30000 | return = -1.080 | loss = -2.129870 | len = 5
Episode 11400/30000 | return = -1.040 | loss = -8.408942 | len = 3
Episode 11450/30000 | return = 4.880 | loss = 3.240522 | len = 7
Episode 11500/30000 | return = -1.080 | loss = -16.880348 | len = 5
Episode 11550/30000 | return = 4.900 | loss = 4.706212 | len = 6
Episode 11600/30000 | return = 4.860 | loss = 3.902917 | len = 8
Episode 11650/30000 | return = 4.800 | loss = 45.662392 | len = 11
Episode 11700/30000 | return = -1.000 | loss = -9.133399 | len = 1
Episode 11750/30000 | return = -1.040 | loss = -8.901068 | len = 3
Episode 11800/30000 | return = 4.920 | loss = 0.024381 | len = 5
Episode 11850/30000 | return = 4.840 | loss = 4.143085 | len = 9
Episode 11900/30000 | return = -1.040 | loss = -5.790698 | len = 3
Episode 11950/30000 | return = -1.500 | loss = -82.009827 | len = 26
Episode 12000/30000 | return = -1.060 | loss = -12.171641 | len = 4
Episode 12050/30000 | return = 4.920 | loss = 0.191472 | len = 5
Episode 12100/30000 | return = 4.920 | loss = 0.014724 | len = 5
Episode 12150/30000 | return = -1.120 | loss = -7.017253 | len = 7
Episode 12200/30000 | return = 4.900 | loss = 2.240949 | len = 6
Episode 12250/30000 | return = 4.880 | loss = 4.131119 | len = 7
Episode 12300/30000 | return = 4.820 | loss = 15.837725 | len = 10
Episode 12350/30000 | return = 4.860 | loss = 7.250502 | len = 8
Episode 12400/30000 | return = -1.540 | loss = -95.245941 | len = 28
Episode 12450/30000 | return = -1.140 | loss = -22.514639 | len = 8
Episode 12500/30000 | return = 4.900 | loss = 3.361297 | len = 6
Episode 12550/30000 | return = -1.500 | loss = -42.553322 | len = 26
Episode 12600/30000 | return = 4.880 | loss = 5.205388 | len = 7
Episode 12650/30000 | return = -1.060 | loss = -7.514277 | len = 4
Episode 12700/30000 | return = 4.860 | loss = 3.182812 | len = 8
Episode 12750/30000 | return = 4.840 | loss = 2.929372 | len = 9
Episode 12800/30000 | return = -1.080 | loss = -12.365669 | len = 5
Episode 12850/30000 | return = -1.080 | loss = -13.128748 | len = 5
Episode 12900/30000 | return = 4.860 | loss = 4.472353 | len = 8
Episode 12950/30000 | return = 4.880 | loss = 2.497665 | len = 7
Episode 13000/30000 | return = -1.360 | loss = -46.439140 | len = 19
Episode 13050/30000 | return = -1.080 | loss = -6.135681 | len = 5
Episode 13100/30000 | return = 4.920 | loss = 0.095144 | len = 5
Episode 13150/30000 | return = 4.800 | loss = 11.208385 | len = 11
Episode 13200/30000 | return = -1.060 | loss = -9.403113 | len = 4
Episode 13250/30000 | return = 4.880 | loss = 1.893447 | len = 7
Episode 13300/30000 | return = 4.880 | loss = 2.417651 | len = 7
Episode 13350/30000 | return = 4.920 | loss = 0.227712 | len = 5
Episode 13400/30000 | return = 4.880 | loss = 5.542425 | len = 7
Episode 13450/30000 | return = -1.060 | loss = -10.068148 | len = 4
Episode 13500/30000 | return = -1.440 | loss = -45.674725 | len = 23
Episode 13550/30000 | return = -1.060 | loss = -8.846068 | len = 4
Episode 13600/30000 | return = 4.860 | loss = 6.461116 | len = 8
Episode 13650/30000 | return = 4.880 | loss = 4.927691 | len = 7
Episode 13700/30000 | return = -1.040 | loss = -12.746790 | len = 3
Episode 13750/30000 | return = -1.220 | loss = -26.228741 | len = 12
Episode 13800/30000 | return = 4.920 | loss = 0.240447 | len = 5
Episode 13850/30000 | return = -1.080 | loss = -21.697012 | len = 5
Episode 13900/30000 | return = -1.040 | loss = -18.017990 | len = 3
Episode 13950/30000 | return = -1.040 | loss = -21.539549 | len = 3
Episode 14000/30000 | return = -1.080 | loss = -12.020454 | len = 5
Episode 14050/30000 | return = -1.520 | loss = -67.513603 | len = 27
Episode 14100/30000 | return = 4.900 | loss = 1.711096 | len = 6
Episode 14150/30000 | return = 4.880 | loss = 18.721100 | len = 7
Episode 14200/30000 | return = 4.880 | loss = 5.408885 | len = 7
Episode 14250/30000 | return = 4.900 | loss = 4.117945 | len = 6
Episode 14300/30000 | return = 4.900 | loss = 1.261125 | len = 6
Episode 14350/30000 | return = -1.120 | loss = -22.104467 | len = 7
Episode 14400/30000 | return = -1.180 | loss = -28.945127 | len = 10
Episode 14450/30000 | return = -1.000 | loss = -3.641502 | len = 1
Episode 14500/30000 | return = -1.120 | loss = -13.575149 | len = 7
Episode 14550/30000 | return = 4.900 | loss = 1.342070 | len = 6
Episode 14600/30000 | return = 4.860 | loss = 6.200593 | len = 8
Episode 14650/30000 | return = 4.880 | loss = 2.601795 | len = 7
Episode 14700/30000 | return = -1.620 | loss = -70.032524 | len = 32
Episode 14750/30000 | return = 4.880 | loss = 0.787734 | len = 7
Episode 14800/30000 | return = 4.860 | loss = 3.038135 | len = 8
Episode 14850/30000 | return = 4.840 | loss = 1.953988 | len = 9
Episode 14900/30000 | return = 4.900 | loss = 0.245161 | len = 6
Episode 14950/30000 | return = 4.860 | loss = 2.841243 | len = 8
Episode 15000/30000 | return = 4.900 | loss = 0.163063 | len = 6
Episode 15050/30000 | return = 4.840 | loss = 1.314919 | len = 9
Episode 15100/30000 | return = -1.060 | loss = -10.385262 | len = 4
Episode 15150/30000 | return = -1.020 | loss = -14.578531 | len = 2
Episode 15200/30000 | return = 4.860 | loss = 1.176870 | len = 8
Episode 15250/30000 | return = 4.880 | loss = 0.908325 | len = 7
Episode 15300/30000 | return = 4.840 | loss = 5.596595 | len = 9
Episode 15350/30000 | return = 4.840 | loss = 5.333162 | len = 9
Episode 15400/30000 | return = 4.920 | loss = 0.021205 | len = 5
Episode 15450/30000 | return = -1.240 | loss = -27.212994 | len = 13
Episode 15500/30000 | return = 4.840 | loss = 2.825073 | len = 9
Episode 15550/30000 | return = 4.920 | loss = 0.007925 | len = 5
Episode 15600/30000 | return = -1.060 | loss = -10.483359 | len = 4
Episode 15650/30000 | return = -1.100 | loss = -17.166763 | len = 6
Episode 15700/30000 | return = -1.020 | loss = -5.269116 | len = 2
Episode 15750/30000 | return = 4.900 | loss = 0.204632 | len = 6
Episode 15800/30000 | return = -1.940 | loss = -93.192184 | len = 48
Episode 15850/30000 | return = -1.140 | loss = -58.459202 | len = 8
Episode 15900/30000 | return = -1.060 | loss = -9.735508 | len = 4
Episode 15950/30000 | return = 4.920 | loss = 0.044800 | len = 5
Episode 16000/30000 | return = 4.920 | loss = 0.176838 | len = 5
Episode 16050/30000 | return = 4.900 | loss = 0.299954 | len = 6
Episode 16100/30000 | return = 4.880 | loss = 0.487199 | len = 7
Episode 16150/30000 | return = 4.860 | loss = 1.368260 | len = 8
Episode 16200/30000 | return = 4.860 | loss = 0.565681 | len = 8
Episode 16250/30000 | return = -1.100 | loss = -23.583879 | len = 6
Episode 16300/30000 | return = 4.840 | loss = 8.238902 | len = 9
Episode 16350/30000 | return = 4.840 | loss = 7.614652 | len = 9
Episode 16400/30000 | return = -1.040 | loss = -6.083797 | len = 3
Episode 16450/30000 | return = 4.900 | loss = 0.353382 | len = 6
Episode 16500/30000 | return = 4.880 | loss = 1.333982 | len = 7
Episode 16550/30000 | return = -1.160 | loss = -29.383848 | len = 9
Episode 16600/30000 | return = -1.100 | loss = -14.971924 | len = 6
Episode 16650/30000 | return = 4.740 | loss = 9.469840 | len = 14
Episode 16700/30000 | return = 4.880 | loss = 3.886856 | len = 7
Episode 16750/30000 | return = -1.380 | loss = -59.136066 | len = 20
Episode 16800/30000 | return = 4.600 | loss = 15.002138 | len = 21
Episode 16850/30000 | return = -1.080 | loss = -30.745960 | len = 5
Episode 16900/30000 | return = 4.920 | loss = 0.027161 | len = 5
Episode 16950/30000 | return = -1.240 | loss = -24.649261 | len = 13
Episode 17000/30000 | return = 4.800 | loss = 11.208541 | len = 11
Episode 17050/30000 | return = 4.900 | loss = 0.135628 | len = 6
